amount,amount_balls,amount_name,amount_type,away_team_id,batting_first_team_id,bpo,floodlit,floodlit_name,ground_id,ground_latitude,ground_longitude,ground_name,home_team_id,rain_rule,rain_rule_name,team1_abbreviation,team1_id,team1_class_id,team1_object_id,team2_abbreviation,team2_id,team2_class_id,team2_object_id,tiebreaker_name,tiebreaker_type,tiebreaker_team_id,toss_winner_team_id,winner_team_id,ground_object_id,period,balls_faced,batted,batting_position,dismissal,dismissal_card,ducks,fielder_keeper,fielder_sub,fifty_plus,fours,hundreds,innings,innings_number,minutes,notouts,outs,retired_description,runs,sixes,strike_rate,style_type,description,short_description,date_of_birth,position
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,1,6,1,1,2,0,0,0,0,0,1,0,1,1,0,0,1,0,8,0,133.33,batting,Right-hand bat,Rhb,12/24/1995,OBT
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,1,11,1,4,1,c,0,0,0,0,0,0,1,1,0,0,1,0,8,0,72.72,bowling,Right-arm offbreak,Ob,09-02-1994,TBT
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,1,11,1,4,1,c,0,0,0,0,0,0,1,1,0,0,1,0,8,0,72.72,batting,Left-hand bat,Lhb,09-02-1994,TBT
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,1,28,1,5,1,c,0,0,0,0,6,0,1,1,0,0,1,0,42,1,150,bowling,Right-arm offbreak,Ob,9/17/1986,BLA
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,1,28,1,5,1,c,0,0,0,0,6,0,1,1,0,0,1,0,42,1,150,batting,Right-hand bat,Rhb,9/17/1986,BLA
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,1,3,1,6,1,c,0,0,0,0,0,0,1,1,0,0,1,0,1,0,33.33,bowling,Right-arm medium-fast,Rmf,06-10-1991,MBT
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,1,3,1,6,1,c,0,0,0,0,0,0,1,1,0,0,1,0,1,0,33.33,batting,Right-hand bat,Rhb,06-10-1991,MBT
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,bowling,Right-arm medium-fast,Rmf,5/28/2000,BL
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,batting,Right-hand bat,Rhb,5/28/2000,BL
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,31,1,1,1,c,0,0,0,0,4,0,1,2,0,0,1,0,39,2,125.8,bowling,Right-arm offbreak,Ob,5/20/1994,UKN
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,31,1,1,1,c,0,0,0,0,4,0,1,2,0,0,1,0,39,2,125.8,batting,Right-hand bat,Rhb,5/20/1994,UKN
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,22,1,3,1,c,0,0,0,0,1,0,1,2,0,0,1,0,19,0,86.36,bowling,Slow left-arm orthodox,Sla,04-11-1997,AR
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,22,1,3,1,c,0,0,0,0,1,0,1,2,0,0,1,0,19,0,86.36,batting,Left-hand bat,Lhb,04-11-1997,AR
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,5,1,4,1,c,0,0,0,0,1,0,1,2,0,0,1,0,5,0,100,bowling,Right-arm medium,Rm,06-10-1981,UKN
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,5,1,4,1,c,0,0,0,0,1,0,1,2,0,0,1,0,5,0,100,batting,Right-hand bat,Rhb,06-10-1981,UKN
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,24,1,6,12,not out,0,0,0,0,4,0,1,2,0,1,0,0,45,3,187.5,bowling,Right-arm offbreak,Ob,3/20/1985,UKN
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,24,1,6,12,not out,0,0,0,0,4,0,1,2,0,1,0,0,45,3,187.5,batting,Right-hand bat,Rhb,3/20/1985,UKN
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,5,1,8,12,not out,0,0,0,0,1,0,1,2,0,1,0,0,11,1,220,bowling,Slow left-arm orthodox,Sla,11/28/1996,BL
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,5,1,8,12,not out,0,0,0,0,1,0,1,2,0,1,0,0,11,1,220,batting,Right-hand bat,Rhb,11/28/1996,BL
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,bowling,Right-arm medium-fast,Rmf,,UKN
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,batting,Right-hand bat,Rhb,,UKN
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,bowling,Right-arm medium,Rm,11/24/1983,UKN
4,1,wickets,3,6055,6057,0,3,night match,658,,,"Indian Cement Company Ground, Tirunelveli",6057,0,,DD,6057,0,1047339,RTW,6055,0,1047337,,0,0,6057,6055,,2,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,batting,Right-hand bat,Rhb,11/24/1983,UKN
7,11,wickets,3,6051,6051,0,3,night match,2999,10.240915,78.186623,"NPR College Ground, Dindigul",6057,0,,DD,6057,0,1047339,VBKV,6051,0,1047333,,0,0,6051,6057,,2,30,1,2,5,st,0,1,0,0,2,0,1,2,0,0,1,0,21,1,70,batting,Right-hand bat,Rhb,12/24/1995,OBT
7,11,wickets,3,6051,6051,0,3,night match,2999,10.240915,78.186623,"NPR College Ground, Dindigul",6057,0,,DD,6057,0,1047339,VBKV,6051,0,1047333,,0,0,6051,6057,,2,9,1,3,1,c,0,0,0,0,1,0,1,2,0,0,1,0,8,0,88.88,bowling,Legbreak,Lb,06-01-1994,MBT
7,11,wickets,3,6051,6051,0,3,night match,2999,10.240915,78.186623,"NPR College Ground, Dindigul",6057,0,,DD,6057,0,1047339,VBKV,6051,0,1047333,,0,0,6051,6057,,2,9,1,3,1,c,0,0,0,0,1,0,1,2,0,0,1,0,8,0,88.88,batting,Right-hand bat,Rhb,06-01-1994,MBT
7,11,wickets,3,6051,6051,0,3,night match,2999,10.240915,78.186623,"NPR College Ground, Dindigul",6057,0,,DD,6057,0,1047339,VBKV,6051,0,1047333,,0,0,6051,6057,,2,17,1,4,1,c,0,0,1,0,0,0,1,2,0,0,1,0,8,0,47.05,bowling,Right-arm offbreak,Ob,9/17/1986,BLA
7,11,wickets,3,6051,6051,0,3,night match,2999,10.240915,78.186623,"NPR College Ground, Dindigul",6057,0,,DD,6057,0,1047339,VBKV,6051,0,1047333,,0,0,6051,6057,,2,17,1,4,1,c,0,0,1,0,0,0,1,2,0,0,1,0,8,0,47.05,batting,Right-hand bat,Rhb,9/17/1986,BLA
7,11,wickets,3,6051,6051,0,3,night match,2999,10.240915,78.186623,"NPR College Ground, Dindigul",6057,0,,DD,6057,0,1047339,VBKV,6051,0,1047333,,0,0,6051,6057,,2,10,1,5,12,not out,0,0,0,0,2,0,1,2,0,1,0,0,26,2,260,bowling,Right-arm medium-fast,Rmf,06-10-1991,MBT
7,11,wickets,3,6051,6051,0,3,night match,2999,10.240915,78.186623,"NPR College Ground, Dindigul",6057,0,,DD,6057,0,1047339,VBKV,6051,0,1047333,,0,0,6051,6057,,2,10,1,5,12,not out,0,0,0,0,2,0,1,2,0,1,0,0,26,2,260,batting,Right-hand bat,Rhb,06-10-1991,MBT
7,11,wickets,3,6051,6051,0,3,night match,2999,10.240915,78.186623,"NPR College Ground, Dindigul",6057,0,,DD,6057,0,1047339,VBKV,6051,0,1047333,,0,0,6051,6057,,2,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,bowling,Slow left-arm orthodox,Sla,09-06-1998,BL
7,11,wickets,3,6051,6051,0,3,night match,2999,10.240915,78.186623,"NPR College Ground, Dindigul",6057,0,,DD,6057,0,1047339,VBKV,6051,0,1047333,,0,0,6051,6057,,2,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,batting,Left-hand bat,Lhb,09-06-1998,BL
7,11,wickets,3,6051,6051,0,3,night match,2999,10.240915,78.186623,"NPR College Ground, Dindigul",6057,0,,DD,6057,0,1047339,VBKV,6051,0,1047333,,0,0,6051,6057,,2,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,bowling,Right-arm medium,Rm,10/25/1985,UKN
